IDImp;nr articolo;budget/consuntivo;Nr. Ordine di produzione;Descrizione;Nr. Area di produzione;Risorsa;Tempo risorsa;Quantità di output
3945;ART0002079;CONSUNTIVO;ODP18-05832;Tornitura;A20;RIS2;2.25;12
3946;ART0002079;CONSUNTIVO;ODP18-05832;Controllo qualità;CQ;RIS16;0;24
3947;ART0001272;CONSUNTIVO;ODP18-05328;Tornitura;A20;RIS1;5;0
3948;ART0000848;CONSUNTIVO;ODP18-05887;Montaggio;A40;RIS13;0.75;2
3949;ART0000848;CONSUNTIVO;ODP18-05887;Controllo qualità;CQ;RIS16;0;2
3950;ART0001272;CONSUNTIVO;ODP18-05328;Tornitura;A20;RIS1;9;0
3951;ART0004104;CONSUNTIVO;ODP18-05515;Montaggio;A40;RIS4;3;1
3952;ART0004104;CONSUNTIVO;ODP18-05515;Montaggio;A40;RIS4;6;2
3953;ART0004104;CONSUNTIVO;ODP18-05515;Controllo qualità;CQ;RIS16;0;3
3954;ART0001873;CONSUNTIVO;ODP18-05312;Controllo qualità;CQ;RIS16;0;10
3955;ART0001921;CONSUNTIVO;ODP18-05479;Controllo qualità;CQ;RIS16;0;9
3956;ART0000752;CONSUNTIVO;ODP18-05479;Montaggio;A40;RIS13;0.25;1
3957;ART0000752;CONSUNTIVO;ODP18-05479;Controllo qualità;CQ;RIS16;0;1
3958;ART0000752;CONSUNTIVO;ODP18-05902;Montaggio;A40;RIS13;0.25;1
3959;ART0000752;CONSUNTIVO;ODP18-05902;Controllo qualità;CQ;RIS16;0;1
3960;ART0000752;CONSUNTIVO;ODP18-05770;Montaggio;A40;RIS13;1;6
3961;ART0000752;CONSUNTIVO;ODP18-05770;Controllo qualità;CQ;RIS16;0;6
3962;ART0000784;CONSUNTIVO;ODP18-05312;Montaggio;A40;RIS13;1.5;5
3963;ART0000784;CONSUNTIVO;ODP18-05312;Controllo qualità;CQ;RIS16;0;5
3964;ART0000690;CONSUNTIVO;ODP18-05908;Tornitura;A20;RIS14;2.5;5
3965;ART0005136;CONSUNTIVO;ODP18-05899;Montaggio;A40;RIS4;2;1
